"user_id","question_id","idanswers","answer"
"111","1","633","a jovial vivacious fun loving person..love to work with solar panels! "
"111","27","634","I hate group works!! still, I'll bribe my team with dinner coupons at exotic restaurants after the success of every project "
"111","49","635","not prejudgemental at all"
"111","3","636","low self confidence phase after graduation"
"111","51","637","if you don't want smart people who can be hard working as well to achieve their goals."
"111","36","638","working in teams"
