"user_id","question_id","idanswers","answer"
"99","1","561","I have completed my engineering in instrumentation technology, currently undertaking master of engineering at university of technology, sydney."
"99","34","562","Yes, i am a hard working person and i like to learn and lot for my personal growth"
"99","8","563","A lot of people have inspired me but mainly i would like yo say that my father is my inspiration. I have grown up watching him and i aspire to be like him in future"
"99","23","564","I would like to help people and contribute to the society i live in, which i consider is my biggest motivation."
"99","44","565","I always fail keeping up my diet in order to lose weight, but i have lot of willpower and patience which keeps me going."
"99","24","566","I believe everybody is creative in their own sense, i would like to say i am creative in whatever i do."
