"user_id","question_id","idanswers","answer"
"120","1","675","Teamplayer"
"120","27","676","Gifts"
"120","49","677","I didn't think in his point of view."
"120","3","678","Proving myself"
"120","51","679","I'm not matured"
"120","36","680","Bigdata"
