"user_id","question_id","idanswers","answer"
"119","1","669","I am MCA 2016 batch passout job seeker looking for opportunities in IT Industry."
"119","27","670","Encourage"
"119","49","671","When i am in Stress"
"119","3","672","I have faced so many challenges but the toughest one is not getting a job but still smiling and doing more hard work to improve me day by day."
"119","51","673","Sir, being a fresher I don't have enough industrial knowledge, but once I get the opportunity I'll put my 100% effort to prove myself and be an asset to your company. Since I am a quick learner and possess appropriate skills for the job I'll fulfill all the needs of the organisation."
"119","36","674","Big data, Hadoop"
