"user_id","question_id","idanswers","answer"
"55","1","281","I am a student at IIIT-B.I am 22 years old  I have taken many courses in data science and computer science. I mostly enjoy reading. I like jogging. I am a foodie. I have great friends who are all preparing for placements right now. "
"55","7","283","I am a commited worker and don't waste time. I am open for co-operation and adjustments. I am a fast learner as well.\
"
"55","12","287","I am organised in terms of my schedules, meetings and other work related commitments. But, I like to keep my personal life and things slightly disorganised, inorder to keep fun and liveliness."
"55","41","288","Nothing."
"55","21","289","Didn't do anything."
"55","38","291","reading all kinds of books, fiction and non-fiction, especially mysteries and thrillers. I like to jog and dance. I like to watch movies and tv series a lot."
