"user_id","question_id","idanswers","answer"
"122","1","687","I'm a Database Administrator with two years of experience managing all the aspects of rdbms including oracle and mssql"
"122","27","688","Promote creativity and team spirit.Provide challenging tasks and appreciate their work."
"122","49","689","Deepika padukone on her acting skills, she's one hell of an actress now."
"122","3","690","Managing an activity at office which was done in production , for the very first time, Independently."
"122","51","691","You shouldnt hire me if you only want a person who would work 9-5 and never put in extra effort . I thrive in tasks that need n appreciate hard work."
"122","36","692","To drive a car, to play guitar."
