,ErrorType,ErrCount_F022.csv
0,UPPERCASE_SENTENCE_START,1
1,MY_BE,1
2,SENTENCE_FRAGMENT,1
3,AM_I,1
4,ADVERB_WORD_ORDER,1
5,DOUBLE_PUNCTUATION,5
6,MORFOLOGIK_RULE_EN_GB,9
7,I_LOWERCASE,1
8,WHITESPACE_RULE,1
