,ErrorType,ErrCount_MT2015062.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,13
2,SENTENCE_FRAGMENT,1
3,IT_IS,1
4,BEEN_PART_AGREEMENT,1
5,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,1
6,MORFOLOGIK_RULE_EN_GB,13
7,I_LOWERCASE,11
8,SENTENCE_WHITESPACE,2
9,CD_NN,1
10,DOUBLE_PUNCTUATION,1
11,EN_CONTRACTION_SPELLING,1
12,WHITESPACE_RULE,4
