,ErrorType,ErrCount_PH2014008.csv
0,UPPERCASE_SENTENCE_START,1
1,ENGLISH_WORD_REPEAT_BEGINNING_RULE,5
2,EN_A_VS_AN,1
3,MORFOLOGIK_RULE_EN_GB,4
4,I_LOWERCASE,1
5,APOSTROPHE_PLURAL,1
6,DOUBLE_PUNCTUATION,5
