,ErrorType,ErrCount_MT2015503.csv
0,UPPERCASE_SENTENCE_START,9
1,COMMA_PARENTHESIS_WHITESPACE,2
2,ENGLISH_WORD_REPEAT_BEGINNING_RULE,1
3,EN_A_VS_AN,1
4,MORFOLOGIK_RULE_EN_GB,6
5,DOUBLE_PUNCTUATION,2
6,SENTENCE_WHITESPACE,3
7,I_LOWERCASE,17
8,WHITESPACE_RULE,3
