,ErrorType,ErrCount_MT2015519.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,2
2,AFFORD_VBG,1
3,ENGLISH_WORD_REPEAT_BEGINNING_RULE,1
4,DID_BASEFORM,1
5,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,1
6,MORFOLOGIK_RULE_EN_GB,13
7,DOUBLE_PUNCTUATION,2
8,SENTENCE_WHITESPACE,1
