,ErrorType,ErrCount_F020.csv
0,SENTENCE_FRAGMENT,1
1,UPPERCASE_SENTENCE_START,1
2,MORFOLOGIK_RULE_EN_GB,3
3,DOUBLE_PUNCTUATION,3
4,I_LOWERCASE,1
