,ErrorType,ErrCount_IMT2014040.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,4
2,EN_GB_SIMPLE_REPLACE,1
3,ENGLISH_WORD_REPEAT_BEGINNING_RULE,2
4,MORFOLOGIK_RULE_EN_GB,4
5,DOUBLE_PUNCTUATION,1
6,ADVERB_WORD_ORDER,1
7,MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,1
8,PEOPLE_VBZ,1
