,ErrorType,ErrCount_F023.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,2
2,MORFOLOGIK_RULE_EN_GB,4
3,DOUBLE_PUNCTUATION,4
4,SENTENCE_WHITESPACE,1
5,EN_CONTRACTION_SPELLING,1
