,ErrorType,ErrCount_PH2015013.csv
0,UPPERCASE_SENTENCE_START,2
1,COMMA_PARENTHESIS_WHITESPACE,2
2,IN_A_X_MANNER,1
3,ENGLISH_WORD_REPEAT_BEGINNING_RULE,7
4,SOME_OF_THE,1
5,MORFOLOGIK_RULE_EN_GB,3
6,DOUBLE_PUNCTUATION,2
7,SENTENCE_WHITESPACE,3
8,WHITESPACE_RULE,1
