,ErrorType,ErrCount_PH2014010.csv
0,UPPERCASE_SENTENCE_START,1
1,HAVE_PART_AGREEMENT,2
2,MORFOLOGIK_RULE_EN_GB,4
3,DOUBLE_PUNCTUATION,1
4,SENTENCE_WHITESPACE,1
5,COMMA_PARENTHESIS_WHITESPACE,3
6,WHITESPACE_RULE,8
