,ErrorType,ErrCount_IMT2013036.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,1
2,ENGLISH_WORD_REPEAT_BEGINNING_RULE,5
3,ENGLISH_WORD_REPEAT_RULE,1
4,MORFOLOGIK_RULE_EN_GB,4
5,DOUBLE_PUNCTUATION,5
