,ErrorType,ErrCount_MS2014004.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,1
2,ENGLISH_WORD_REPEAT_BEGINNING_RULE,5
3,ENGLISH_WORD_REPEAT_RULE,1
4,PROGRESSIVE_VERBS,1
5,MORFOLOGIK_RULE_EN_GB,5
6,DOUBLE_PUNCTUATION,4
