,ErrorType,ErrCount_MT2015103.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,2
2,EN_UNPAIRED_BRACKETS,1
3,MORFOLOGIK_RULE_EN_GB,3
4,DOUBLE_PUNCTUATION,2
5,SENTENCE_WHITESPACE,1
6,EN_QUOTES,3
