,ErrorType,ErrCount_IMT2016088.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,10
2,MORFOLOGIK_RULE_EN_GB,17
3,I_LOWERCASE,3
4,SENTENCE_WHITESPACE,2
5,DOUBLE_PUNCTUATION,1
6,WHITESPACE_RULE,2
