,ErrorType,ErrCount_F008.csv
0,WONT,1
1,UPPERCASE_SENTENCE_START,1
2,COMMA_PARENTHESIS_WHITESPACE,1
3,MORFOLOGIK_RULE_EN_GB,1
4,DOUBLE_PUNCTUATION,3
5,I_LOWERCASE,1
