,ErrorType,ErrCount_MT2015106.csv
0,I_LOWERCASE,8
1,UPPERCASE_SENTENCE_START,1
2,COMMA_PARENTHESIS_WHITESPACE,16
3,SENTENCE_FRAGMENT,2
4,ENGLISH_WORD_REPEAT_BEGINNING_RULE,3
5,PROGRESSIVE_VERBS,1
6,MORFOLOGIK_RULE_EN_GB,9
7,DOUBLE_PUNCTUATION,4
8,IN_PAST,1
9,SENTENCE_WHITESPACE,13
10,HAVE_PART_AGREEMENT,1
11,MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,1
12,WHITESPACE_RULE,1
