,ErrorType,ErrCount_IMT2016008.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,6
2,SENTENCE_FRAGMENT,2
3,IT_IS,2
4,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,5
5,MORFOLOGIK_RULE_EN_GB,6
6,DOUBLE_PUNCTUATION,1
7,I_LOWERCASE,1
8,WHITESPACE_RULE,2
