,ErrorType,ErrCount_PH2016006.csv
0,UPPERCASE_SENTENCE_START,2
1,COMMA_PARENTHESIS_WHITESPACE,1
2,ENGLISH_WORD_REPEAT_BEGINNING_RULE,6
3,ALSO_SENT_END,1
4,DOUBLE_PUNCTUATION,4
5,SENTENCE_WHITESPACE,1
