,ErrorType,ErrCount_PH2014014.csv
0,UPPERCASE_SENTENCE_START,4
1,EN_GB_SIMPLE_REPLACE,1
2,MY_BE,1
3,ENGLISH_WORD_REPEAT_BEGINNING_RULE,1
4,MORFOLOGIK_RULE_EN_GB,12
5,I_LOWERCASE,1
6,A_PLURAL,1
7,DOUBLE_PUNCTUATION,1
8,EN_CONTRACTION_SPELLING,1
9,WHITESPACE_RULE,1
