,ErrorType,ErrCount_PH2015018.csv
0,UPPERCASE_SENTENCE_START,1
1,MORFOLOGIK_RULE_EN_GB,12
2,COMMA_PARENTHESIS_WHITESPACE,1
3,SENTENCE_WHITESPACE,1
4,DOUBLE_PUNCTUATION,3
