,ErrorType,ErrCount_F014.csv
0,SENTENCE_FRAGMENT,1
1,UPPERCASE_SENTENCE_START,7
2,MORFOLOGIK_RULE_EN_GB,1
3,DOUBLE_PUNCTUATION,2
4,COMMA_PARENTHESIS_WHITESPACE,2
