,ErrorType,ErrCount_MS2016006.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,1
2,AFFORD_VBG,2
3,ENGLISH_WORD_REPEAT_BEGINNING_RULE,2
4,EN_A_VS_AN,2
5,SOME_OF_THE,1
6,MORFOLOGIK_RULE_EN_GB,7
7,I_LOWERCASE,20
8,ADVERB_WORD_ORDER,1
9,DOUBLE_PUNCTUATION,3
