,ErrorType,ErrCount_MT2015100.csv
0,UPPERCASE_SENTENCE_START,1
1,COMMA_PARENTHESIS_WHITESPACE,7
2,SENTENCE_WHITESPACE,5
3,TRY_AND,1
4,ENGLISH_WORD_REPEAT_BEGINNING_RULE,1
5,EN_UNPAIRED_BRACKETS,1
6,MORFOLOGIK_RULE_EN_GB,3
7,DOUBLE_PUNCTUATION,1
8,LITTLE_BIT,1
9,EN_QUOTES,1
10,WHITESPACE_RULE,1
