,ErrorType,ErrCount_IMT2016012.csv
0,UPPERCASE_SENTENCE_START,2
1,COMMA_PARENTHESIS_WHITESPACE,14
2,EN_GB_SIMPLE_REPLACE,1
3,SENTENCE_FRAGMENT,2
4,THE_SUPERLATIVE,1
5,ENGLISH_WORD_REPEAT_BEGINNING_RULE,2
6,IT_IS,1
7,MORFOLOGIK_RULE_EN_GB,15
8,I_LOWERCASE,18
9,SENTENCE_WHITESPACE,19
10,DOUBLE_PUNCTUATION,3
11,EN_CONTRACTION_SPELLING,1
12,MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,1
