,ErrorType,ErrCount_MS2015009.csv
0,UPPERCASE_SENTENCE_START,1
1,MORFOLOGIK_RULE_EN_GB,3
2,COMMA_PARENTHESIS_WHITESPACE,2
3,TRY_AND,1
4,DOUBLE_PUNCTUATION,3
